ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
9452,Assam,Silchar,Locality_320,Apartment,2,4233,412.83,0.1,1993,Furnished,0,7,32,3,4,Medium,Yes,No,"Playground, Pool, Garden",South,Builder,Under_Construction
9453,Jharkhand,Jamshedpur,Locality_205,Independent House,2,4295,126.36,0.03,2023,Unfurnished,3,12,2,7,9,Medium,No,Yes,"Playground, Clubhouse, Garden, Pool",South,Owner,Ready_to_Move
9454,Chhattisgarh,Bilaspur,Locality_145,Villa,2,4715,58.42,0.01,2012,Furnished,5,18,13,3,5,High,No,No,"Clubhouse, Gym",North,Owner,Ready_to_Move
9455,Bihar,Gaya,Locality_340,Independent House,3,3101,30.28,0.01,1990,Furnished,27,9,35,2,4,Medium,Yes,No,"Pool, Playground, Clubhouse, Garden",East,Builder,Ready_to_Move
9456,Bihar,Gaya,Locality_253,Independent House,2,4490,81.15,0.02,2018,Furnished,20,26,7,9,7,High,Yes,No,Garden,West,Owner,Under_Construction
9457,Haryana,Gurgaon,Locality_21,Independent House,4,3508,358.47,0.1,1990,Semi-furnished,22,13,35,6,1,Low,No,Yes,"Pool, Playground, Gym, Clubhouse, Garden",West,Broker,Under_Construction
9458,Delhi,Dwarka,Locality_20,Apartment,5,1131,120.09,0.11,2011,Furnished,24,11,14,9,6,High,No,Yes,"Pool, Gym, Playground, Clubhouse",South,Broker,Under_Construction
9459,Haryana,Faridabad,Locality_30,Independent House,3,4448,90.98,0.02,2000,Unfurnished,10,14,25,2,4,Low,Yes,Yes,"Clubhouse, Playground, Pool, Garden",North,Owner,Under_Construction
9460,Uttar Pradesh,Lucknow,Locality_420,Apartment,2,3310,362.57,0.11,1997,Semi-furnished,2,16,28,4,1,High,No,No,Playground,East,Broker,Ready_to_Move
9461,Telangana,Warangal,Locality_315,Independent House,2,1638,97.16,0.06,1991,Semi-furnished,0,19,34,8,1,Low,No,Yes,"Pool, Garden, Gym, Playground",South,Broker,Ready_to_Move
9462,Telangana,Warangal,Locality_213,Independent House,5,4410,53.95,0.01,1998,Unfurnished,24,6,27,9,2,High,No,No,"Playground, Pool, Clubhouse, Gym, Garden",South,Owner,Ready_to_Move
9463,Uttar Pradesh,Lucknow,Locality_351,Villa,2,1672,357.48,0.21,1999,Furnished,12,20,26,8,6,Medium,No,No,"Gym, Clubhouse, Pool",West,Builder,Ready_to_Move
9464,Bihar,Gaya,Locality_388,Villa,2,1352,390.52,0.29,2008,Unfurnished,6,28,17,1,6,Medium,Yes,No,"Clubhouse, Playground, Gym, Garden",East,Owner,Ready_to_Move
9465,Bihar,Patna,Locality_330,Independent House,4,1642,14.22,0.01,2015,Furnished,24,4,10,4,8,High,No,Yes,"Gym, Garden, Playground, Clubhouse",North,Broker,Ready_to_Move
9466,Chhattisgarh,Bilaspur,Locality_225,Villa,5,1042,493.22,0.47,2023,Semi-furnished,18,12,2,3,5,High,Yes,Yes,"Garden, Pool, Playground, Gym, Clubhouse",North,Builder,Ready_to_Move
9467,Maharashtra,Mumbai,Locality_18,Villa,5,4908,260.23,0.05,2015,Unfurnished,1,4,10,10,6,Medium,Yes,Yes,"Playground, Gym, Garden",East,Builder,Under_Construction
9468,Madhya Pradesh,Bhopal,Locality_437,Independent House,1,3542,401.83,0.11,2017,Unfurnished,19,17,8,10,3,High,Yes,Yes,"Pool, Clubhouse, Garden",South,Owner,Ready_to_Move
9469,West Bengal,Kolkata,Locality_347,Apartment,4,1756,49.92,0.03,1994,Furnished,6,22,31,10,4,High,Yes,No,"Pool, Clubhouse",East,Broker,Ready_to_Move
9470,Jharkhand,Ranchi,Locality_196,Villa,4,4517,371.44,0.08,2004,Unfurnished,5,6,21,10,10,Medium,No,No,"Gym, Clubhouse",North,Builder,Ready_to_Move
9471,West Bengal,Kolkata,Locality_271,Independent House,2,2156,91.06,0.04,2014,Furnished,28,18,11,9,7,Low,No,Yes,"Pool, Garden",East,Broker,Under_Construction
9472,Kerala,Kochi,Locality_498,Villa,3,2056,139.69,0.07,2000,Unfurnished,12,11,25,4,10,High,No,Yes,"Gym, Pool, Playground, Clubhouse",North,Builder,Under_Construction
9473,Maharashtra,Mumbai,Locality_241,Apartment,2,1812,390.46,0.22,2000,Unfurnished,12,10,25,6,4,Low,Yes,No,Playground,West,Builder,Ready_to_Move
9474,Odisha,Bhubaneswar,Locality_316,Apartment,3,2552,125.3,0.05,2001,Semi-furnished,15,26,24,4,9,Medium,Yes,No,"Playground, Gym",West,Owner,Ready_to_Move
9475,Madhya Pradesh,Indore,Locality_156,Apartment,3,3266,250.05,0.08,2009,Furnished,5,21,16,9,10,High,No,Yes,"Clubhouse, Playground",North,Broker,Under_Construction
9476,Haryana,Faridabad,Locality_379,Villa,3,638,359.35,0.56,2007,Semi-furnished,14,23,18,5,1,Medium,Yes,Yes,"Garden, Clubhouse",East,Broker,Under_Construction
9477,Rajasthan,Jaipur,Locality_257,Independent House,2,565,246.7,0.44,2012,Unfurnished,4,16,13,7,1,Medium,No,Yes,"Gym, Pool, Garden",West,Owner,Under_Construction
9478,Telangana,Hyderabad,Locality_190,Apartment,3,2555,397.06,0.16,2010,Semi-furnished,6,3,15,3,5,Low,Yes,No,"Playground, Gym, Garden",North,Broker,Under_Construction
9479,Telangana,Warangal,Locality_480,Independent House,1,3986,343.76,0.09,1994,Furnished,26,17,31,4,9,Medium,No,Yes,"Clubhouse, Playground, Gym",South,Builder,Ready_to_Move
9480,Andhra Pradesh,Vijayawada,Locality_251,Independent House,5,4697,305.75,0.07,1994,Unfurnished,21,30,31,1,9,Medium,No,No,"Garden, Clubhouse, Playground, Gym, Pool",East,Builder,Under_Construction
9481,Chhattisgarh,Raipur,Locality_49,Villa,2,4990,115.98,0.02,1990,Furnished,23,12,35,10,8,Low,Yes,Yes,"Playground, Garden, Pool, Clubhouse, Gym",South,Owner,Ready_to_Move
9482,Kerala,Kochi,Locality_373,Villa,5,605,383.61,0.63,2011,Furnished,27,27,14,7,2,Medium,Yes,Yes,"Playground, Gym, Clubhouse, Garden, Pool",West,Broker,Ready_to_Move
9483,Haryana,Gurgaon,Locality_233,Villa,4,3509,363.26,0.1,1996,Unfurnished,0,22,29,1,3,High,No,Yes,"Pool, Playground, Garden, Gym",North,Broker,Under_Construction
9484,Jharkhand,Ranchi,Locality_195,Independent House,3,1181,56.94,0.05,1994,Furnished,0,23,31,6,5,Low,Yes,No,"Gym, Pool, Clubhouse",South,Owner,Ready_to_Move
9485,Maharashtra,Nagpur,Locality_201,Villa,3,4999,384.84,0.08,2015,Semi-furnished,13,24,10,4,5,Low,Yes,Yes,"Pool, Gym, Clubhouse",South,Builder,Under_Construction
9486,Jharkhand,Ranchi,Locality_479,Villa,3,4583,290.02,0.06,2013,Unfurnished,30,27,12,7,5,Medium,Yes,No,Pool,North,Builder,Ready_to_Move
9487,Karnataka,Mangalore,Locality_374,Villa,5,4026,59.07,0.01,2011,Unfurnished,7,8,14,2,5,Low,Yes,Yes,"Garden, Gym",South,Builder,Ready_to_Move
9488,West Bengal,Durgapur,Locality_194,Apartment,5,4687,182.89,0.04,2011,Unfurnished,22,6,14,3,8,High,Yes,No,Garden,North,Builder,Under_Construction
9489,West Bengal,Durgapur,Locality_423,Apartment,4,1727,161.56,0.09,2022,Furnished,2,1,3,1,4,High,No,Yes,"Clubhouse, Playground, Gym, Garden, Pool",West,Broker,Ready_to_Move
9490,Haryana,Faridabad,Locality_210,Independent House,4,950,255.98,0.27,1996,Unfurnished,24,11,29,7,5,Medium,Yes,Yes,Playground,West,Owner,Under_Construction
9491,Jharkhand,Jamshedpur,Locality_20,Apartment,1,783,42.68,0.05,1999,Semi-furnished,9,23,26,6,5,High,No,Yes,"Gym, Playground, Pool, Garden, Clubhouse",East,Owner,Ready_to_Move
9492,Uttarakhand,Haridwar,Locality_103,Independent House,5,734,197.24,0.27,2019,Unfurnished,22,27,6,7,8,High,No,Yes,"Clubhouse, Gym, Garden",South,Builder,Ready_to_Move
9493,Uttarakhand,Haridwar,Locality_97,Villa,4,3364,414.36,0.12,2008,Furnished,12,21,17,4,4,Medium,Yes,No,"Playground, Garden, Gym, Clubhouse",West,Builder,Ready_to_Move
9494,Jharkhand,Jamshedpur,Locality_393,Villa,1,2618,108.73,0.04,2002,Semi-furnished,28,4,23,2,3,High,No,Yes,"Gym, Garden",North,Builder,Under_Construction
9495,Andhra Pradesh,Vishakhapatnam,Locality_61,Villa,1,610,206.66,0.34,2020,Unfurnished,3,9,5,2,5,Low,Yes,Yes,"Gym, Pool, Garden, Playground",East,Builder,Ready_to_Move
9496,Andhra Pradesh,Vijayawada,Locality_11,Apartment,1,3582,205.29,0.06,2011,Semi-furnished,19,26,14,6,1,Medium,Yes,Yes,Pool,West,Broker,Under_Construction
9497,Uttar Pradesh,Lucknow,Locality_311,Apartment,4,1694,62.52,0.04,2009,Semi-furnished,26,19,16,5,10,Medium,Yes,No,"Garden, Pool",East,Broker,Ready_to_Move
9498,Andhra Pradesh,Vijayawada,Locality_480,Apartment,3,3245,74.26,0.02,2015,Unfurnished,25,22,10,10,3,High,Yes,No,Clubhouse,South,Broker,Ready_to_Move
9499,Delhi,Dwarka,Locality_168,Independent House,4,4694,143.66,0.03,2021,Unfurnished,8,2,4,1,3,High,Yes,No,"Pool, Playground",North,Builder,Under_Construction
9500,Chhattisgarh,Bilaspur,Locality_18,Villa,2,2093,56.32,0.03,1990,Semi-furnished,28,14,35,3,7,High,Yes,Yes,"Clubhouse, Gym, Playground, Garden, Pool",South,Owner,Under_Construction
9501,Andhra Pradesh,Vishakhapatnam,Locality_484,Independent House,5,1124,290.02,0.26,1994,Furnished,28,9,31,1,3,Medium,No,Yes,"Playground, Gym, Clubhouse",East,Broker,Under_Construction
9502,Uttar Pradesh,Lucknow,Locality_123,Independent House,5,4579,385.21,0.08,2003,Furnished,22,3,22,10,2,Low,Yes,Yes,Clubhouse,South,Builder,Ready_to_Move
9503,Odisha,Bhubaneswar,Locality_461,Villa,4,2798,186.7,0.07,2020,Semi-furnished,2,3,5,4,5,Low,No,No,Gym,North,Builder,Under_Construction
9504,Tamil Nadu,Coimbatore,Locality_71,Villa,2,580,470.52,0.81,2012,Furnished,1,12,13,7,9,Medium,No,Yes,Clubhouse,North,Owner,Ready_to_Move
9505,Haryana,Faridabad,Locality_27,Apartment,4,4301,163.89,0.04,2015,Semi-furnished,0,17,10,2,4,High,Yes,No,Gym,West,Broker,Ready_to_Move
9506,Jharkhand,Ranchi,Locality_398,Independent House,2,1426,88.66,0.06,1993,Semi-furnished,3,16,32,9,2,High,No,No,"Clubhouse, Gym, Garden, Playground",East,Owner,Under_Construction
9507,Bihar,Patna,Locality_475,Villa,2,4373,208.67,0.05,2005,Unfurnished,2,16,20,8,2,High,No,Yes,"Gym, Playground, Pool, Clubhouse",North,Owner,Ready_to_Move
9508,Kerala,Kochi,Locality_292,Independent House,1,2907,14.23,0.0,1993,Furnished,5,3,32,2,4,High,Yes,Yes,"Playground, Garden, Clubhouse",North,Builder,Under_Construction
9509,Delhi,Dwarka,Locality_12,Independent House,1,895,307.49,0.34,2023,Semi-furnished,1,14,2,2,7,Low,No,No,Playground,North,Builder,Under_Construction
9510,Gujarat,Ahmedabad,Locality_132,Villa,4,3386,227.93,0.07,1991,Furnished,17,29,34,4,10,Medium,Yes,Yes,"Gym, Garden, Clubhouse, Playground",West,Owner,Ready_to_Move
9511,Tamil Nadu,Chennai,Locality_347,Apartment,1,1763,281.97,0.16,2010,Unfurnished,16,8,15,9,9,High,No,Yes,"Gym, Pool",West,Builder,Ready_to_Move
9512,Chhattisgarh,Bilaspur,Locality_2,Apartment,5,1455,113.55,0.08,2011,Semi-furnished,11,14,14,8,3,Low,Yes,Yes,"Playground, Gym, Clubhouse, Garden",East,Builder,Under_Construction
9513,Gujarat,Surat,Locality_358,Apartment,3,4905,426.52,0.09,1998,Unfurnished,7,17,27,6,9,Low,No,No,"Playground, Gym, Garden, Clubhouse, Pool",South,Builder,Ready_to_Move
9514,Karnataka,Bangalore,Locality_198,Villa,4,1433,111.82,0.08,2005,Furnished,28,10,20,10,7,Low,Yes,Yes,"Garden, Pool, Playground, Clubhouse, Gym",West,Owner,Under_Construction
9515,Uttarakhand,Haridwar,Locality_376,Villa,2,4007,348.2,0.09,1994,Semi-furnished,29,26,31,5,8,Low,No,No,Pool,North,Builder,Ready_to_Move
9516,Odisha,Cuttack,Locality_445,Villa,4,2837,121.51,0.04,2009,Semi-furnished,15,25,16,8,5,Low,Yes,Yes,"Gym, Clubhouse, Garden, Pool, Playground",East,Broker,Under_Construction
9517,Maharashtra,Mumbai,Locality_372,Independent House,2,3705,272.72,0.07,2020,Furnished,24,14,5,3,5,High,Yes,No,"Garden, Clubhouse, Gym, Playground",South,Broker,Under_Construction
9518,Gujarat,Surat,Locality_131,Independent House,4,1520,106.75,0.07,1993,Furnished,13,15,32,1,4,Medium,Yes,Yes,"Gym, Pool, Garden",West,Broker,Under_Construction
9519,Uttar Pradesh,Noida,Locality_229,Villa,5,1762,398.62,0.23,2003,Furnished,4,4,22,10,2,Medium,Yes,Yes,"Pool, Clubhouse, Gym, Garden",East,Owner,Under_Construction
9520,Delhi,Dwarka,Locality_151,Apartment,1,4403,32.44,0.01,1992,Semi-furnished,4,1,33,2,3,Low,Yes,No,"Pool, Gym, Garden",North,Owner,Under_Construction
9521,Andhra Pradesh,Vishakhapatnam,Locality_404,Villa,4,4872,119.21,0.02,2011,Unfurnished,17,13,14,2,1,High,No,Yes,"Playground, Garden, Pool, Clubhouse",West,Owner,Under_Construction
9522,Kerala,Kochi,Locality_170,Independent House,3,543,319.06,0.59,1999,Furnished,11,25,26,9,9,Low,No,Yes,Garden,North,Broker,Under_Construction
9523,Uttar Pradesh,Noida,Locality_223,Independent House,1,3858,336.98,0.09,2016,Unfurnished,18,9,9,8,7,High,No,Yes,"Playground, Clubhouse",West,Owner,Ready_to_Move
9524,Rajasthan,Jodhpur,Locality_197,Villa,2,4203,239.59,0.06,2020,Furnished,15,29,5,5,6,Low,No,Yes,Pool,North,Builder,Ready_to_Move
9525,Kerala,Trivandrum,Locality_493,Independent House,3,761,306.27,0.4,1994,Furnished,15,3,31,1,5,High,Yes,No,"Clubhouse, Pool",North,Broker,Ready_to_Move
9526,Assam,Silchar,Locality_172,Apartment,2,1120,324.57,0.29,1992,Semi-furnished,12,26,33,5,3,Low,Yes,Yes,"Playground, Clubhouse, Pool, Gym",North,Owner,Ready_to_Move
9527,Delhi,Dwarka,Locality_300,Independent House,5,1039,379.54,0.37,2003,Semi-furnished,13,27,22,1,7,High,Yes,Yes,Clubhouse,East,Builder,Under_Construction
9528,Bihar,Patna,Locality_365,Villa,3,799,158.7,0.2,2019,Semi-furnished,5,28,6,7,1,Low,No,No,Playground,North,Broker,Ready_to_Move
9529,Karnataka,Bangalore,Locality_75,Independent House,4,2347,495.62,0.21,2004,Unfurnished,30,6,21,4,3,High,No,Yes,"Gym, Garden, Pool, Clubhouse, Playground",West,Owner,Ready_to_Move
9530,Madhya Pradesh,Indore,Locality_476,Apartment,5,4842,354.72,0.07,2005,Semi-furnished,9,26,20,7,2,Medium,No,No,"Gym, Clubhouse, Pool",South,Broker,Ready_to_Move
9531,Assam,Guwahati,Locality_423,Villa,1,3059,74.95,0.02,2018,Unfurnished,3,24,7,9,4,Low,Yes,Yes,Clubhouse,East,Broker,Under_Construction
9532,Maharashtra,Pune,Locality_115,Independent House,3,2624,202.01,0.08,2016,Unfurnished,8,5,9,8,7,High,Yes,No,"Pool, Garden, Playground",North,Builder,Ready_to_Move
9533,Gujarat,Ahmedabad,Locality_330,Apartment,3,889,306.14,0.34,1991,Unfurnished,10,19,34,9,10,High,No,Yes,"Playground, Garden",North,Broker,Ready_to_Move
9534,Haryana,Gurgaon,Locality_482,Apartment,5,2137,433.05,0.2,2007,Semi-furnished,7,21,18,2,7,Medium,No,No,"Pool, Garden",North,Owner,Under_Construction
9535,Telangana,Warangal,Locality_276,Apartment,2,2265,28.91,0.01,2015,Semi-furnished,20,21,10,5,9,Medium,No,No,"Garden, Playground, Clubhouse, Pool, Gym",North,Owner,Under_Construction
9536,Andhra Pradesh,Vishakhapatnam,Locality_337,Apartment,3,4318,124.85,0.03,2010,Furnished,4,5,15,10,6,High,Yes,No,Pool,North,Broker,Under_Construction
9537,Gujarat,Surat,Locality_147,Independent House,3,4645,328.8,0.07,2006,Unfurnished,0,23,19,2,3,High,No,Yes,Garden,East,Owner,Ready_to_Move
9538,Tamil Nadu,Coimbatore,Locality_466,Apartment,3,4365,71.35,0.02,2012,Semi-furnished,8,30,13,4,1,Medium,Yes,No,"Garden, Pool, Playground",East,Owner,Under_Construction
9539,West Bengal,Kolkata,Locality_3,Independent House,5,4060,144.89,0.04,2000,Semi-furnished,20,30,25,2,9,Low,No,Yes,"Pool, Gym, Playground, Garden",West,Builder,Ready_to_Move
9540,Chhattisgarh,Raipur,Locality_272,Villa,4,4716,160.72,0.03,2023,Semi-furnished,11,12,2,3,7,Low,Yes,Yes,"Pool, Clubhouse",North,Broker,Under_Construction
9541,Telangana,Hyderabad,Locality_158,Villa,5,851,440.33,0.52,2007,Furnished,23,19,18,4,1,High,Yes,No,"Playground, Gym, Garden, Pool, Clubhouse",West,Broker,Ready_to_Move
9542,Odisha,Cuttack,Locality_298,Apartment,1,3143,344.8,0.11,2009,Furnished,15,26,16,3,6,Medium,No,Yes,Garden,North,Broker,Ready_to_Move
9543,Delhi,Dwarka,Locality_285,Apartment,4,2566,271.23,0.11,2012,Furnished,14,7,13,6,5,Medium,Yes,Yes,"Playground, Pool, Clubhouse, Garden",West,Builder,Under_Construction
9544,Andhra Pradesh,Vishakhapatnam,Locality_189,Apartment,4,4780,12.85,0.0,2008,Semi-furnished,26,19,17,9,10,High,No,Yes,"Pool, Gym",East,Builder,Ready_to_Move
9545,Uttar Pradesh,Noida,Locality_268,Villa,3,4672,402.78,0.09,2010,Semi-furnished,10,8,15,1,5,High,No,No,"Pool, Clubhouse, Gym, Playground, Garden",South,Builder,Ready_to_Move
9546,West Bengal,Kolkata,Locality_149,Apartment,2,4050,266.31,0.07,2013,Unfurnished,3,23,12,7,8,High,Yes,No,Playground,West,Builder,Under_Construction
9547,Uttar Pradesh,Lucknow,Locality_72,Independent House,3,2903,329.1,0.11,2009,Semi-furnished,10,24,16,4,9,High,Yes,No,"Pool, Playground, Clubhouse, Gym",South,Builder,Under_Construction
9548,Kerala,Kochi,Locality_454,Independent House,4,527,316.5,0.6,2014,Unfurnished,28,9,11,1,1,Low,Yes,No,"Garden, Clubhouse, Gym, Playground",West,Builder,Ready_to_Move
9549,Telangana,Hyderabad,Locality_232,Apartment,2,2327,70.66,0.03,2000,Furnished,10,5,25,9,2,Low,No,No,"Pool, Clubhouse, Garden, Gym, Playground",North,Broker,Ready_to_Move
9550,Odisha,Cuttack,Locality_172,Villa,1,1494,369.66,0.25,2014,Semi-furnished,30,4,11,1,5,Medium,No,Yes,"Gym, Garden",West,Owner,Ready_to_Move
9551,Gujarat,Surat,Locality_171,Villa,5,3367,126.57,0.04,2015,Semi-furnished,23,16,10,1,2,High,No,No,"Garden, Clubhouse, Gym, Playground, Pool",South,Builder,Under_Construction
9552,Uttarakhand,Haridwar,Locality_350,Villa,5,4903,81.55,0.02,2000,Furnished,8,3,25,4,1,Low,No,Yes,Clubhouse,West,Broker,Ready_to_Move
9553,Jharkhand,Ranchi,Locality_224,Independent House,3,538,252.39,0.47,1993,Furnished,21,27,32,1,7,Medium,Yes,Yes,"Clubhouse, Gym, Playground, Garden, Pool",East,Broker,Ready_to_Move
9554,Kerala,Kochi,Locality_1,Apartment,3,3670,40.15,0.01,1996,Semi-furnished,12,14,29,6,4,Medium,No,Yes,"Clubhouse, Pool, Playground, Gym",West,Owner,Ready_to_Move
9555,Jharkhand,Ranchi,Locality_313,Villa,2,1610,439.21,0.27,2016,Unfurnished,7,26,9,7,10,High,No,Yes,"Clubhouse, Gym, Garden, Pool, Playground",North,Broker,Under_Construction
9556,Uttar Pradesh,Lucknow,Locality_355,Apartment,5,4119,247.93,0.06,2004,Furnished,2,19,21,4,9,Low,No,No,"Clubhouse, Playground, Gym",North,Builder,Under_Construction
9557,Assam,Guwahati,Locality_86,Villa,4,4591,353.37,0.08,2002,Unfurnished,17,19,23,7,1,High,Yes,No,"Gym, Garden, Clubhouse, Playground",East,Builder,Ready_to_Move
9558,Bihar,Patna,Locality_343,Apartment,3,3060,361.17,0.12,2022,Furnished,2,26,3,1,3,High,Yes,Yes,"Garden, Playground, Gym, Pool",North,Owner,Under_Construction
9559,Punjab,Amritsar,Locality_40,Apartment,1,1549,339.3,0.22,2000,Unfurnished,17,21,25,7,5,Low,Yes,Yes,"Clubhouse, Garden, Pool, Playground, Gym",North,Broker,Ready_to_Move
9560,Uttar Pradesh,Noida,Locality_273,Apartment,1,4785,236.22,0.05,2005,Furnished,7,27,20,8,5,Medium,No,Yes,"Clubhouse, Garden, Gym, Pool",South,Broker,Under_Construction
9561,Maharashtra,Nagpur,Locality_265,Apartment,4,3582,435.29,0.12,2020,Furnished,22,18,5,6,6,Medium,No,No,"Gym, Playground, Clubhouse",West,Owner,Under_Construction
9562,West Bengal,Kolkata,Locality_131,Independent House,5,3769,129.09,0.03,2014,Unfurnished,7,13,11,8,1,Low,No,Yes,Pool,East,Owner,Under_Construction
9563,Bihar,Gaya,Locality_252,Independent House,5,978,215.04,0.22,1995,Semi-furnished,21,7,30,9,8,High,Yes,No,"Clubhouse, Garden",South,Owner,Under_Construction
9564,Delhi,Dwarka,Locality_8,Villa,1,3025,225.49,0.07,2021,Unfurnished,30,29,4,8,4,Medium,No,Yes,"Clubhouse, Pool, Gym, Garden, Playground",East,Broker,Ready_to_Move
9565,Andhra Pradesh,Vijayawada,Locality_418,Independent House,5,4750,318.43,0.07,2014,Unfurnished,30,13,11,7,3,Medium,No,Yes,"Playground, Pool",West,Owner,Ready_to_Move
9566,Uttarakhand,Dehradun,Locality_269,Apartment,4,4927,153.33,0.03,2018,Semi-furnished,0,9,7,6,4,Low,No,Yes,"Garden, Pool",East,Broker,Ready_to_Move
9567,Rajasthan,Jaipur,Locality_359,Villa,2,1800,380.9,0.21,2007,Unfurnished,26,30,18,9,6,High,No,Yes,"Gym, Garden, Clubhouse, Playground, Pool",North,Owner,Under_Construction
9568,Assam,Silchar,Locality_413,Villa,4,2503,396.09,0.16,2014,Semi-furnished,25,18,11,4,6,High,Yes,No,Clubhouse,South,Broker,Under_Construction
9569,Haryana,Faridabad,Locality_309,Villa,3,2573,364.56,0.14,2016,Unfurnished,18,4,9,7,8,Low,No,No,"Gym, Clubhouse",South,Owner,Under_Construction
9570,Jharkhand,Ranchi,Locality_218,Apartment,3,1614,91.47,0.06,1993,Semi-furnished,28,23,32,6,6,Medium,No,Yes,"Clubhouse, Pool, Garden, Playground, Gym",North,Owner,Under_Construction
9571,Odisha,Cuttack,Locality_10,Villa,4,3599,89.56,0.02,2015,Semi-furnished,26,11,10,8,10,Low,No,No,"Clubhouse, Pool",North,Builder,Under_Construction
9572,Bihar,Gaya,Locality_234,Apartment,2,4206,177.77,0.04,2001,Furnished,11,6,24,9,8,High,Yes,Yes,"Clubhouse, Garden, Playground",East,Broker,Under_Construction
9573,Bihar,Patna,Locality_327,Apartment,4,1820,150.4,0.08,2006,Unfurnished,30,16,19,9,9,Medium,No,No,Gym,North,Owner,Ready_to_Move
9574,Jharkhand,Ranchi,Locality_194,Apartment,5,3043,455.13,0.15,1994,Furnished,20,30,31,10,6,Medium,Yes,Yes,"Garden, Pool, Playground",North,Owner,Ready_to_Move
9575,Karnataka,Mysore,Locality_413,Apartment,2,1152,456.85,0.4,2000,Unfurnished,6,25,25,6,6,High,Yes,Yes,"Garden, Clubhouse, Playground",South,Broker,Ready_to_Move
9576,Delhi,New Delhi,Locality_179,Apartment,5,4883,356.41,0.07,1997,Furnished,19,14,28,8,3,Low,Yes,Yes,"Gym, Garden",East,Owner,Under_Construction
9577,Kerala,Trivandrum,Locality_62,Villa,4,4619,228.49,0.05,2000,Furnished,29,14,25,5,3,Medium,Yes,Yes,"Garden, Pool, Playground, Gym",East,Broker,Under_Construction
9578,Bihar,Gaya,Locality_137,Villa,5,2146,475.34,0.22,2004,Unfurnished,23,6,21,1,7,Low,Yes,Yes,"Clubhouse, Garden",North,Broker,Under_Construction
9579,Madhya Pradesh,Indore,Locality_399,Villa,3,828,343.91,0.42,2015,Furnished,17,28,10,10,10,Medium,Yes,Yes,"Clubhouse, Gym, Pool",East,Builder,Ready_to_Move
9580,Kerala,Kochi,Locality_442,Independent House,3,1417,46.75,0.03,2020,Unfurnished,23,24,5,8,8,Medium,Yes,Yes,"Pool, Clubhouse",North,Broker,Ready_to_Move
9581,Andhra Pradesh,Vishakhapatnam,Locality_29,Apartment,4,4541,47.8,0.01,2021,Furnished,0,18,4,5,3,High,Yes,No,"Garden, Gym, Playground, Clubhouse",South,Broker,Ready_to_Move
9582,Uttarakhand,Dehradun,Locality_2,Independent House,5,1496,364.36,0.24,2011,Unfurnished,18,13,14,6,7,High,No,No,"Garden, Pool, Gym, Clubhouse, Playground",East,Owner,Under_Construction
9583,Gujarat,Ahmedabad,Locality_83,Apartment,2,1206,213.13,0.18,1995,Semi-furnished,21,16,30,5,2,Medium,Yes,Yes,"Playground, Pool, Garden, Gym",South,Owner,Ready_to_Move
9584,Telangana,Warangal,Locality_54,Independent House,4,3799,75.02,0.02,2016,Furnished,3,17,9,8,8,Medium,Yes,Yes,"Clubhouse, Playground, Garden, Gym, Pool",South,Owner,Under_Construction
9585,Rajasthan,Jodhpur,Locality_137,Independent House,2,3401,277.34,0.08,2021,Unfurnished,11,13,4,3,3,Low,Yes,Yes,"Clubhouse, Garden, Playground, Gym, Pool",South,Builder,Ready_to_Move
9586,Gujarat,Surat,Locality_117,Apartment,4,840,268.03,0.32,2023,Semi-furnished,15,26,2,5,9,Low,Yes,No,"Garden, Pool, Gym, Playground, Clubhouse",West,Broker,Under_Construction
9587,Uttarakhand,Dehradun,Locality_320,Apartment,5,3249,100.11,0.03,2020,Furnished,12,25,5,10,7,Low,No,Yes,Gym,East,Owner,Under_Construction
9588,Telangana,Hyderabad,Locality_217,Apartment,2,1245,449.64,0.36,2001,Unfurnished,5,13,24,9,3,Medium,Yes,Yes,Playground,West,Owner,Under_Construction
9589,Bihar,Patna,Locality_335,Villa,5,3693,473.19,0.13,2023,Semi-furnished,18,10,2,7,7,High,Yes,Yes,Playground,West,Builder,Under_Construction
9590,Andhra Pradesh,Vijayawada,Locality_51,Apartment,4,1277,445.96,0.35,2005,Unfurnished,12,27,20,1,8,Low,Yes,Yes,"Pool, Clubhouse, Gym",South,Builder,Ready_to_Move
9591,Gujarat,Ahmedabad,Locality_264,Villa,3,4106,185.44,0.05,2007,Unfurnished,14,14,18,3,6,High,No,No,Playground,West,Owner,Under_Construction
9592,Jharkhand,Ranchi,Locality_26,Apartment,3,1164,21.91,0.02,1992,Unfurnished,5,8,33,8,7,Low,No,Yes,"Clubhouse, Playground, Garden",West,Builder,Ready_to_Move
9593,Tamil Nadu,Coimbatore,Locality_447,Independent House,2,799,230.33,0.29,2008,Semi-furnished,5,13,17,8,4,Medium,No,No,"Playground, Clubhouse",West,Builder,Under_Construction
9594,Andhra Pradesh,Vishakhapatnam,Locality_315,Independent House,4,832,311.48,0.37,1999,Unfurnished,23,29,26,8,10,High,No,Yes,"Pool, Clubhouse, Gym, Garden, Playground",East,Builder,Ready_to_Move
